,overall,reviewTime,reviewerID,productID
0,3.0,"01 2, 2020",A3G5KDMFNRUXHB,B00E0KYN86,,,
1,5.0,"12 20, 2020",A3G5KDMFNRUXHB,B00E1JOB74,,,
2,3.0,"01 2, 2020",A3G5KDMFNRUXHB,B00GWSXSEE,,,
3,3.0,"05 14, 2020",A3G5KDMFNRUXHB,B00IOBLTO8,,,
4,2.0,"01 2, 2020",A3G5KDMFNRUXHB,B00IZ4I1C2,,,
5,3.0,"05 14, 2020",A3G5KDMFNRUXHB,B00KREP4NW,,,
6,4.0,"05 14, 2020",A3G5KDMFNRUXHB,B00KW4L9XQ,,,
7,4.0,"07 17, 2020",A3G5KDMFNRUXHB,B00515QO4K,,,
8,2.0,"05 14, 2020",AHWOW7D1ABO9C,B00LMU8YAK,,,
9,2.0,"01 5, 2020",AHWOW7D1ABO9C,B00LX0CTAA,,,
10,5.0,"12 22, 2020",AHWOW7D1ABO9C,B00FLXMST2,,,
11,5.0,"03 7, 2020",AHWOW7D1ABO9C,B00515QO4K,,,
12,5.0,"09 12, 2020",A3JBQHQZEZPQK4,B00KA3VEG6,,,
13,5.0,"03 7, 2020",A3JBQHQZEZPQK4,B00KA3VO3O,,,
14,5.0,"02 21, 2020",A3JBQHQZEZPQK4,B00KW4LCCE,,,
15,5.0,"12 22, 2020",A3JBQHQZEZPQK4,B00L9AAW0S,,,
16,5.0,"08 3, 2020",A3JBQHQZEZPQK4,B00LIGBCTS,,,
17,4.0,"08 31, 2020",A3JBQHQZEZPQK4,B00LMU8WSE,,,
18,5.0,"12 22, 2020",A1RRX286ZRI830,B00E0KYN86,,,
19,5.0,"01 28, 2021",A1RRX286ZRI830,B00LMU7GHM,,,
20,5.0,"06 18, 2021",A1RRX286ZRI830,B00515QO4K,,,
